TITULACION,Total_Egresados
CFGS (LOE),2165616.0
CFGM (LOE),1270624.0
Administración y Gestión,657208.0
Servicios Socioculturales y a la Comunidad,587224.0
Sanidad,394216.0
Administración y finanzas,355752.0
Hostelería y Turismo,352968.0
CFGB (LOE),297096.0
Comercio y Marketing,293392.0
Informática y Comunicaciones,274808.0
Educación infantil,247328.0
Electricidad y Electrónica,223816.0
Transporte y Mantenimiento de Vehículos,184520.0
Gestión administrativa,168896.0
Imagen Personal,165880.0
Integración social,157800.0
Agraria,102768.0
Farmacia y parafarmacia,102184.0
Actividades comerciales,96408.0
Atención a personas en situación de dependencia,96056.0
Emergencias sanitarias,91464.0
Electromecánica de vehículos automóviles,90256.0
Sistemas microinformáticos y redes,88488.0
Actividades Físicas y Deportivas,88272.0
Cocina y gastronomía,88256.0
Asistencia a la dirección,82440.0
Imagen y Sonido,73248.0
Dirección de cocina,72480.0
Instalación y Mantenimiento,67856.0
Gestión de ventas y espacios comerciales,67720.0
Administración de sistemas informáticos en red,67008.0
Gestión de alojamientos turísticos,62096.0
Animación sociocultural y turística,61760.0
Instalaciones eléctricas y automáticas,58784.0
Higiene bucodental,57904.0
Enseñanza y animación sociodeportiva,56744.0
Marítimo-Pesquera,54248.0
Servicios administrativos,50120.0
Estética y belleza,49648.0
Peluquería y cosmética capilar,48296.0
Sistemas electrotécnicos y automatizados,46160.0
Marketing y publicidad,44912.0
Desarrollo de aplicaciones multiplataforma,44648.0
Imagen para el diagnóstico y medicina nuclear,43216.0
Laboratorio clínico y biomédico,43008.0
Automoción,40984.0
Fabricación Mecánica,37672.0
Desarrollo de aplicaciones web,36768.0
Sistemas de telecomunicaciones e informáticos,36048.0
Servicios en restauración,33808.0
Servicios comerciales,33032.0
Industrias Alimentarias,32832.0
Acondicionamiento físico,31528.0
Electricidad y electrónica,31304.0
Informática y comunicaciones,31024.0
Energía y Agua,30544.0
Cocina y restauración,30104.0
Agro-jardinería y composiciones florales,29176.0
Instalaciones de telecomunicaciones,28264.0
"Guía, información y asistencia turísticas",28128.0
Estética integral y bienestar,27080.0
Comercio internacional,26416.0
